id,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,PRICE/SF,LATITUDE,LONGITUDE
219,Condo/Co-op,110-20 71 Ave #110,Forest Hills,NY,11375,285000,1,1,The Majestic,,,1951,1,,40.7224092,-73.8406658
220,Single Family Residential,145 Hylan Blvd,,NY,10305,538000,3,1.5,Staten Island,1302,2500,1920,1,413,40.6135789,-74.0675333
221,Condo/Co-op,2807 Kings Hwy Unit 4G,Brooklyn,NY,11229,299000,2,1,Brooklyn,850,,,1,352,40.615498,-73.946239
222,Multi-Family (2-4 Unit),1682 84 St,Brooklyn,NY,11214,1399000,6,3.25,Brooklyn,3120,2304,1899,1,448,40.6099699,-74.004178
223,Condo/Co-op,90-11 35th Ave Unit 5N,Jackson Heights,NY,11372,219000,0,1,South View,500,,1958,1,438,40.7528037,-73.876822
224,Multi-Family (2-4 Unit),107-18 104th St,Ozone Park,NY,11417,879000,4,3.5,Ozone Park,,2400,1910,1,,40.680056,-73.836346
225,Multi-Family (2-4 Unit),613 E 3rd St,Brooklyn,NY,11218,1350000,7,2.5,Brooklyn,2628,,1920,1,514,40.6373703,-73.9759551
226,Single Family Residential,91-15 91 St,Woodhaven,NY,11421,668000,5,3,Woodhaven,,2000,1920,1,,40.688785,-73.851799
227,Multi-Family (2-4 Unit),1780 Undercliff Ave,Bronx,NY,10453,749000,6,3,Bronx,2304,2970,2007,1,325,40.8519769,-73.9194243
228,Condo/Co-op,144-77 Roosevelt Ave Unit 9F,Flushing,NY,11354,789000,2,1.5,Wisteria Plaza,1167,,1983,1,676,40.7628229,-73.8195292
229,Condo/Co-op,2600 Henry Hudson Pkwy Unit 5C,Bronx,NY,10463,459000,2,2,Bronx,1028,,1941,1,446,40.8808389,-73.917313
230,Townhouse,3080 Avenue W,Brooklyn,NY,11229,728000,4,2,Sheepshead Bay,1540,2000,1955,1,473,40.5963765,-73.9348451
231,Condo/Co-op,66-02 111 St Unit 1C,Forest Hills,NY,11375,210000,1,1,The Gardens At Forest Hi,,,1949,1,,40.7311351,-73.8454007
232,Condo/Co-op,85-15 120 St Unit 1I,Kew Gardens,NY,11415,669000,2,2,Courtyard Gardens,977,,2016,1,685,40.7025956,-73.8309615
233,Single Family Residential,756 Vincent Ave,Bronx,NY,10465,509000,3,2,Bronx,1050,2500,1920,1,485,40.8300628,-73.8174269
234,Condo/Co-op,442 97 St Unit 1J,Brooklyn,NY,11209,550000,1,1,Brooklyn,662,,2003,1,831,40.6140114,-74.0309159
235,Single Family Residential,38 Purcell St,Staten Island,NY,10310,699900,3,2,Clove Lake,1500,2904,1920,1,467,40.6264017,-74.1179169
236,Single Family Residential,29 Redwood Loop,Staten Island,NY,10309,449000,3,2,Rossville,1400,1600,1985,1,321,40.5476117,-74.2148837
237,Multi-Family (2-4 Unit),2521 Lurting Ave,Bronx,NY,10469,659000,4,3,Bronx,2200,,1940,1,300,40.863484,-73.857161
238,Single Family Residential,157-31 26 Ave,New York,NY,11354,1199900,3,3,New York,2112,3798,1950,1,568,40.773831,-73.805627
239,Single Family Residential,114-16 169th St,Jamaica,NY,11434,549000,5,1.5,Jamaica,,2628,1935,1,,40.690278,-73.780677
240,Condo/Co-op,162 O Ave Unit 1 A,Brooklyn,NY,11204,539000,1,1.5,Brooklyn,1177,,2012,1,458,40.610576,-73.9787559
241,Single Family Residential,360 W 262nd St,Bronx,NY,10471,699990,3,2.5,Bronx,1746,2500,1925,1,401,40.910887,-73.899767
242,Vacant Land,35-30 101 St,Corona,NY,11368,658000,,,Corona,,2770,,1,,40.753408,-73.866853
243,Single Family Residential,119-49 234th St,Cambria Heights,NY,11411,599999,3,3,Cambria Heights,,4000,1945,1,,40.686666,-73.730072
244,Condo/Co-op,35-31 85th St Unit 8A,Jackson Heights,NY,11372,215000,0,1,Roosevelt Terrace,450,,1955,1,478,40.7512279,-73.8812776
245,Multi-Family (2-4 Unit),147-24 109th Ave,Jamaica,NY,11435,999999,5,3,Jamaica,,2558,1970,1,,40.690845,-73.799287
246,Single Family Residential,9601 Avenue B,Brooklyn,NY,11236,799000,4,2.5,Brooklyn,2340,2400,1945,1,341,40.6527082,-73.9118703
247,Multi-Family (2-4 Unit),149-64 256th St,Rosedale,NY,11422,679000,5,3.5,Rosedale,,2500,1950,1,,40.650961,-73.7333529
248,Single Family Residential,193-02 122 Ave,Springfield Gdns,NY,11413,499888,3,1.5,Springfield Gdns,,,1930,1,,40.68571,-73.753972
249,Single Family Residential,73 Shotwell Ave,Staten Island,NY,10312,664900,4,3,Annandale,1564,3125,1980,1,425,40.55481,-74.1814
250,Condo/Co-op,69-55 218th St Unit Duplex,Bayside,NY,11364,339000,2,1,Bell Park Gardens,,,1955,1,,40.7418495,-73.7566067
251,Townhouse,114-40 127th St,S. Ozone Park,NY,11420,589000,3,1.5,S. Ozone Park,,1958,1935,1,,40.679566,-73.813165
252,Condo/Co-op,2621 Palisade Ave Unit 4F,Bronx,NY,10463,380000,1,1,Riverdale,800,,1962,1,475,40.8825647,-73.9213061
253,Condo/Co-op,89-15 Parson Blvd Unit 12D,Jamaica,NY,11432,169000,1,1,Jamaica Towers/Westwood,,,1961,1,,40.7055595,-73.8012395
254,Multi-Family (2-4 Unit),895 Lenox Rd,Brooklyn,NY,11203,1125000,5,2,East Flatbush,1690,4000,1901,1,666,40.655784,-73.9262689
255,Condo/Co-op,71-33 162nd St Unit 4F,Fresh Meadows,NY,11365,605000,2,2,Fresh Meadows Condo,,,2010,1,,40.7294008,-73.8069781
256,Condo/Co-op,34-20 79th St Unit 5B,Jackson Heights,NY,11372,359000,1,1,Dunolly Gardens,,,1939,1,,40.7527513,-73.8879031
257,Condo/Co-op,104-64 39 Ave Unit 3A,Corona,NY,11368,499000,2,1.5,39 Ave Condominium,730,3125,2009,1,684,40.7510679,-73.859744
258,Multi-Family (2-4 Unit),743 Alabama Ave,E. New York,NY,11207,799000,5,2,E. New York,,2400,1925,1,,40.6581858,-73.8933022
259,Single Family Residential,149-05 124th St,Wakefield,NY,11420,798000,2,1.5,Wakefield,,4000,1955,1,,40.667462,-73.815837
260,Multi-Family (2-4 Unit),1109 Park Pl,Brooklyn,NY,11213,1499000,6,2,Crown Heights,2822,3000,1901,1,531,40.6731174,-73.9408615
261,Single Family Residential,273 Deal Ct,Staten Island,NY,10305,599000,3,4,Rosebank,1428,1784,1992,1,419,40.611343,-74.0678439
262,Condo/Co-op,25-11 Union St Unit 2B,Flushing,NY,11354,335000,2,1,Linden Hill,,,1954,1,,40.775357,-73.825377
263,Multi-Family (2-4 Unit),1444 E 91st St,Brooklyn,NY,11236,450000,4,2,Brooklyn,1472,2250,1920,1,306,40.6351638,-73.8993081
264,Single Family Residential,1950 Haight Ave,Bronx,NY,10461,629000,4,2,Bronx,1620,2500,1915,1,388,40.8529217,-73.8554256
265,Condo/Co-op,97-10 62 Dr Unit 1G,Rego Park,NY,11374,329000,1,1,Park City 3&4,700,,1954,1,470,40.7324113,-73.8613203
266,Single Family Residential,322 E 25th St,Brooklyn,NY,11226,1299000,3,3,Flatbush,2350,2000,1905,1,553,40.642345,-73.9537425
267,Single Family Residential,105 Madsen Ave,Staten Island,NY,10309,669000,2,2,Richmond Valley,1496,5200,1901,1,447,40.5236794,-74.2333165
268,Multi-Family (2-4 Unit),25 Pine St,Staten Island,NY,10301,675000,5,3,Staten Island,2400,2475,1920,1,281,40.6365127,-74.087771
269,Condo/Co-op,81-06 155th Ave #2,Howard Beach,NY,11414,249000,2,1,Lindenwood Gardens,,,1950,1,,40.6634812,-73.8517301
270,Single Family Residential,123 Carteret St,Staten Island,NY,10307,999000,4,3,Tottenville,4410,10000,1984,1,227,40.5057677,-74.2474155
271,Single Family Residential,140 Roosevelt Ave,Staten Island,NY,10314,629900,3,3,Willowbrook,1890,2200,1990,1,333,40.602992,-74.132712
272,Condo/Co-op,110-11 Queens Blvd Unit 23N,Forest Hills,NY,11375,320000,0,1,Kennedy House,,,1965,1,,40.7201739,-73.8397167
273,Multi-Family (2-4 Unit),445 Linwood St,Brooklyn,NY,11208,800000,10,3,Brooklyn,2520,,1930,1,317,40.674519,-73.8825303
274,Multi-Family (2-4 Unit),27 Pine St,Staten Island,NY,10301,675000,5,3,Staten Island,2400,2475,1920,1,281,40.636561,-74.087665
275,Condo/Co-op,55 Austin Pl Unit 3 L,Staten Island,NY,10304,279000,1,1,Ward Hill,837,837,1962,1,333,40.6316064,-74.0856185
276,Single Family Residential,53-25 Marathon Pkwy,Little Neck,NY,11362,1049888,4,3,Little Neck,,5000,1945,1,,40.761221,-73.732029
277,Multi-Family (2-4 Unit),5264 Post Rd,Bronx,NY,10471,869000,3,2,Riverdale,2000,,1923,1,435,40.898901,-73.898067
278,Single Family Residential,66-04 Hull Ave,Maspeth,NY,11378,598999,4,2,Maspeth,,2500,1910,1,,40.726604,-73.898381
279,Condo/Co-op,73-45 210 St Unit 4B,Oakland Gardens,NY,11364,260000,1,1,Windsor Park,800,,1950,1,325,40.7379638,-73.7626764
280,Single Family Residential,744 Throggs Neck Expy Unit SR,Bronx,NY,10465,559000,3,2,Bronx,1944,2299,1955,1,288,40.8294444,-73.8179843
281,Single Family Residential,744 Throggs Neck Expy,Bronx,NY,10465,559000,3,2,Country Club,1944,2300,1955,1,288,40.829483,-73.817975
282,Condo/Co-op,Unit at 205 W End Ave,New York,NY,10023,599000,0,1,Upper West Side,,,,2,,40.778545,-73.9864464
283,Single Family Residential,223-15 113 Ave,Queens Village,NY,11429,399000,2,1.75,Queens Village,1358,4000,1935,2,294,40.704126,-73.7331559
284,Condo/Co-op,92-29 Lamont Ave Unit 4G,Elmhurst,NY,11373,330000,2,1,Lamont,800,,1963,2,413,40.7454554,-73.8733806
285,Single Family Residential,605 Naughton Ave,Staten Island,NY,10305,519000,3,3,DngnHillsB-Hylan,1636,1700,1987,2,317,40.5792272,-74.0846777
286,Condo/Co-op,81-25 268th St Unit 221B,Floral Park,NY,11004,229000,1,1,Langdale Gardens,,,1950,2,,40.7437929,-73.702746
287,Multi-Family (2-4 Unit),1178 E Tremont Ave,Bronx,NY,10460,515000,6,2,Bronx,1304,1184,1901,2,395,40.8396918,-73.8746749
288,Multi-Family (2-4 Unit),61-49 56th Ave,Maspeth,NY,11378,1449000,6,3,Maspeth,,2500,2018,2,,40.725146,-73.902444
289,Single Family Residential,661 S 7th Ave,Mount Vernon,NY,10550,299000,3,1,Mount Vernon,1250,3267,1917,2,239,40.8944751,-73.8333716
290,Condo/Co-op,1552 E 14th St Unit 4B,Brooklyn,NY,11230,574000,2,1,Midwood,880,,2004,2,652,40.6115528,-73.960022
291,Multi-Family (5+ Unit),189 Saratoga Ave,Yonkers,NY,10705,1900000,17,9,Yonkers,8550,4390,1967,2,222,40.911279,-73.8930151
292,Single Family Residential,105-33 87th St,Ozone Park,NY,11417,669000,4,2,Ozone Park,,2400,1925,2,,40.679049,-73.850922
293,Multi-Family (2-4 Unit),657 Rogers Ave,Brooklyn,NY,11226,949000,4,2,Brooklyn,,1267,1910,2,,40.655494,-73.952707
294,Single Family Residential,153 Amador St,Staten Island,NY,10303,448000,2,3,Graniteville,1124,2115,2007,2,399,40.624087,-74.167187
295,Multi-Family (2-4 Unit),246 Albany Ave Unit Crown Heights,Brooklyn,NY,11213,1049000,4,2,Brooklyn,,1360,1899,2,,40.6722127,-73.939392
296,Single Family Residential,1828 Waterloo Pl,Bronx,NY,10460,300000,0,,Bronx,1390,,1910,2,216,40.8403527,-73.8874165
297,Condo/Co-op,66-10 149th St Unit 3C,Flushing,NY,11367,299000,2,1,Mainstay 2,850,,1950,2,352,40.7350178,-73.8220116
298,Condo/Co-op,42-55 Colden St Unit 16D,Flushing,NY,11355,470000,2,1,Colden Tower,936,,1962,2,502,40.7532665,-73.825342
299,Multi-Family (2-4 Unit),2142 Virgil Pl,Bronx,NY,10473,535000,1,1,Bronx,1944,2038,1960,2,275,40.8221849,-73.8497401
300,Single Family Residential,54-05 68th St,Maspeth,NY,11378,928000,4,2,Maspeth,1900,4300,1920,2,488,40.7281078,-73.8961903
301,Single Family Residential,90-03 214th St,Queens Village,NY,11428,650000,5,1.5,Queens Village,,2250,1935,2,,40.722767,-73.747746
302,Multi-Family (2-4 Unit),2716 Hone Ave,Bronx,NY,10469,600000,4,2.5,Bronx,2034,1799,1960,2,295,40.8662205,-73.8574012
303,Multi-Family (2-4 Unit),1827 Waterloo Pl,Bronx,NY,10460,600000,0,,Bronx,2359,,1920,2,254,40.8404968,-73.8877433
304,Single Family Residential,153-04 Foch Blvd,call Listing Agent,NY,11434,249000,2,1,Jamaica,756,,1920,2,329,40.681209,-73.78958
305,Condo/Co-op,8301 Ridge Blvd Unit 6E,Brooklyn,NY,11209,249000,0,1,Brooklyn,400,,,2,623,40.6259955,-74.0323073
306,Single Family Residential,30-28 Murray Ln,Flushing,NY,11354,988888,3,2.5,Flushing,1672,2904,1925,2,591,40.770708,-73.814167
307,Condo/Co-op,2925 Matthews Ave Unit 2G,Bronx,NY,10467,105000,1,1,Bronx,750,,1928,2,140,40.8685895,-73.862719
308,Multi-Family (2-4 Unit),32-03 75 St,Jackson Heights,NY,11370,1329000,5,3,Jackson Heights,,2175,1960,2,,40.756818,-73.891927
309,Condo/Co-op,144-12 Village Rd Unit 63D,Briarwood,NY,11435,200000,1,1,Kew Garden Hills,,,1950,2,,40.7166177,-73.8161158
310,Condo/Co-op,226-26 Union Tpke Unit 5-0,Bayside,NY,11364,269900,1,1,Cambridge Hall,,,1950,2,,40.73557,-73.74472
311,Single Family Residential,53-15 251 Pl,Little Neck,NY,11362,1190000,4,3,Little Neck Hills,2450,4579,1945,2,486,40.7628739,-73.730057
312,Townhouse,217 Charles Ave,Staten Island,NY,10302,474888,6,5,Port Richmond,1984,2500,1910,2,239,40.63524,-74.138649
313,Condo/Co-op,Unit at 165 W 66th St,New York,NY,10023,948000,1,1,Upper West Side,,,,2,,40.7747589,-73.9836916
314,Condo/Co-op,1947 65 St Unit 4C,Brooklyn,NY,11204,299000,1,1,Brooklyn,650,,1931,2,460,40.617271,-73.986602
315,Condo/Co-op,3215 Netherland Ave Unit 6G,Bronx,NY,10463,289900,2,1,Bronx,900,,1939,2,322,40.884185,-73.911854
316,Multi-Family (2-4 Unit),837 E 215th St,Bronx,NY,10467,629000,4,2,Williamsbridge,,2584,1935,2,,40.87955,-73.859919
317,Multi-Family (2-4 Unit),19 Wyona St,Brooklyn,NY,11207,699000,5,3,Brooklyn,1848,1875,1901,2,378,40.6788773,-73.8945195
318,Townhouse,80-62 89 Ave,Woodhaven,NY,11421,595999,3,2.5,Woodhaven,,1650,,2,,40.688767,-73.859058
319,Condo/Co-op,85-11 34th Ave Unit 6F,Jackson Heights,NY,11372,599000,2,1,Condo,843,,1951,2,711,40.7543537,-73.8818757
320,Single Family Residential,130-55 227th St,Laurelton,NY,11413,499999,3,2,Laurelton,,3200,1930,2,,40.680907,-73.740557
321,Condo/Co-op,104-27 38 Ave Unit 4A,Corona,NY,11368,478000,2,1.5,Condo,667,,2009,2,717,40.7519361,-73.8616403
322,Condo/Co-op,64-54 223rd Pl Unit A,Bayside,NY,11364,294999,2,1,Oakland Gardens,,,1955,2,,40.7472123,-73.7544568
323,Condo/Co-op,7903 Seaview Ave,Brooklyn,NY,11236,399900,3,2,Canarsie,1049,3150,1984,2,381,40.6266233,-73.9008248
324,Townhouse,66-04 Saunders St,Forest Hills,NY,11375,1149000,3,1.5,Forest Hills,1800,2000,1945,2,638,40.72667,-73.8564
325,Single Family Residential,3814 Secor Ave,Bronx,NY,10466,430000,2,1.5,Bronx,,1136,1925,2,,40.8883799,-73.8320621
326,Condo/Co-op,116-11 E Curzon Rd Unit 6F,Kew Gardens,NY,11415,735000,2,2,Metrofalls Condominiums,987,,2010,2,745,40.70505,-73.83562
327,Condo/Co-op,65-10 108 St Unit 4K,Forest Hills,NY,11375,510000,2,1,Queens Montgomery Owners,1400,,1954,2,364,40.7312816,-73.8489724
328,Single Family Residential,7311 Avenue U,Brooklyn,NY,11234,789000,3,2.5,Brooklyn,1886,2800,1960,2,418,40.6211475,-73.9058878
329,Townhouse,72 Tenafly Pl,Staten Island,NY,10312,899999,3,3,Annandale,3150,3800,2018,2,286,40.5363817,-74.1812259
330,Townhouse,48-46 58th Ln,Woodside,NY,11377,898000,3,2,Woodside,1332,1206,1945,2,674,40.737329,-73.907691
331,Townhouse,104 Stroud Ave,Staten Island,NY,10312,899000,3,1,Eltingville,2392,4200,1965,2,376,40.553448,-74.1720022
332,Townhouse,37 Albourne Ave E,Staten Island,NY,10312,859999,4,3,Huguenot,2980,7500,1955,2,289,40.5315013,-74.1960351
333,Single Family Residential,131-07 107 Ave,Richmond Hill,NY,11419,675000,3,1.5,Richmond Hill,2200,3000,1920,2,307,40.687513,-73.813104
334,Condo/Co-op,1275 E 51 St Unit 5y,Brooklyn,NY,11234,215000,2,1,Brooklyn,500,,,2,430,40.6299186,-73.9265961
335,Townhouse,468 Mcclean Ave,Staten Island,NY,10305,849999,4,3,Arrochar,1700,6120,1950,2,500,40.5947981,-74.0757021
336,Multi-Family (2-4 Unit),130-33 125 St,S. Ozone Park,NY,11420,678000,5,2.5,S. Ozone Park/Wakefield,,4000,1956,2,,40.671944,-73.813353
337,Condo/Co-op,1910 Pelham Parkway South Unit 2A,Bronx,NY,10461,199999,2,1,Bronx,960,958,1964,2,208,40.8554751,-73.8287353
338,Condo/Co-op,105-24 67th Ave Unit 1F,Forest Hills,NY,11375,280000,1,1,Quality & Ruskin,,,1955,2,,40.7284391,-73.8485517
339,Single Family Residential,818 W Fingerboard Rd,Staten Island,NY,10305,815000,3,2,Grasmere,2046,4312,1936,2,398,40.6017618,-74.082815
340,Single Family Residential,117 Burgher Ave,Staten Island,NY,10305,628000,3,2,Dongan Hills-Above Hylan,1004,2500,1925,2,625,40.5937242,-74.0937019
341,Townhouse,138 Driggs St,Staten Island,NY,10308,799999,3,3,Great Kills,2100,4000,1997,2,381,40.5403702,-74.150581
342,Multi-Family (2-4 Unit),84-24 129th St,Kew Gardens,NY,11415,986990,6,3,Kew Gardens,2010,2500,1920,2,491,40.706153,-73.824205
343,Condo/Co-op,6C Edgewater Park Unit C,Bronx,NY,10465,459000,3,1.5,Bronx,1620,,1998,2,283,40.823721,-73.810991
344,Single Family Residential,128 Pelton Ave,Staten Island,NY,10310,899000,4,2,Snug Harbor,2829,7200,1915,2,318,40.6403071,-74.1115624
345,Condo/Co-op,201-14 Rocky Hill Rd,Bayside,NY,11361,479000,2,1,Rocky Hill Condominium,,130643,1949,2,,40.7532604,-73.7785975
346,Condo/Co-op,1244 E 80 St #14,Brooklyn,NY,11236,430000,2,2,Brooklyn,931,,1982,2,462,40.6300386,-73.9062831
347,Single Family Residential,2173 Batchelder St,Brooklyn,NY,11229,749000,3,1.75,Brooklyn,1116,1800,1950,2,671,40.598972,-73.938408
348,Condo/Co-op,150-29 Jewel Ave Unit 305A,Flushing,NY,11367,239000,1,1,Georgetown Mews,,,1950,2,,40.7318046,-73.8181801
349,Condo/Co-op,78-17 Springfield Blvd #2,Bayside,NY,11364,259999,1,1,Alley Pond Owners Corp,,,1950,2,,40.7369937,-73.7471454
350,Multi-Family (2-4 Unit),241 Westervelt Ave,St. Island,NY,10301,750000,6,2.5,St. Island,,3552,,2,,40.6422293,-74.0830445
351,Condo/Co-op,Unit 3D,Long Island City,NY,11101,575000,0,1,Arcadia 27,,,,,,40.7490964,-73.9411945
352,Condo/Co-op,Unit 3C,Long Island City,NY,11101,1195000,2,2,Arcadia 27,929,,,,1286,40.7490964,-73.9411945
353,Condo/Co-op,Unit 2B,Long Island City,NY,11101,768000,1,1,Arcadia 27,635,,,,1209,40.7490964,-73.9411945
354,Condo/Co-op,Unit 2A,Bay Ridge,NY,11209,918000,2,2,Arcadia Bay Ridge,1081,,,,849,40.6156481,-74.0306778
355,Condo/Co-op,Unit 1B,Bay Ridge,NY,11209,856000,2,2,Arcadia Bay Ridge,1051,,,,814,40.6156481,-74.0306778
356,Condo/Co-op,Unit G3,Bay Ridge,NY,11209,829000,2,2,Arcadia Bay Ridge,1092,,,,759,40.6156481,-74.0306778
357,Condo/Co-op,Unit G1,Bay Ridge,NY,11209,525000,1,1,Arcadia Bay Ridge,623,,,,843,40.6156481,-74.0306778
358,Condo/Co-op,Unit 4A,Long Island City,NY,11101,795000,1,1,Arcadia 27,631,,,,1260,40.7490964,-73.9411945
359,Condo/Co-op,8A,New York,NY,10024,10950000,4,3.5,101 West 78th Street,4172,,,,2625,40.7815071,-73.9762063
360,Condo/Co-op,6C,New York,NY,10024,8995000,3,3.5,101 West 78th Street,3543,,,,2539,40.7815071,-73.9762063
361,Condo/Co-op,4B,New York,NY,10024,7750000,3,2.5,101 West 78th Street,3232,,,,2398,40.7815071,-73.9762063
362,Condo/Co-op,4A,New York,NY,10024,12450000,5,4.5,101 West 78th Street,4820,,,,2583,40.7815071,-73.9762063
363,Condo/Co-op,3B,New York,NY,10024,5950000,3,2.5,101 West 78th Street,2397,,,,2482,40.7815071,-73.9762063
364,Condo/Co-op,Unit 1C,Bay Ridge,NY,11209,880000,2,2,Arcadia Bay Ridge,1092,,,,806,40.6156481,-74.0306778
365,Condo/Co-op,Unit G4,Bay Ridge,NY,11209,618000,1,1,Arcadia Bay Ridge,805,,,,768,40.6156481,-74.0306778
366,Condo/Co-op,61A,New York,NY,10002,4424000,3,3,One Manhattan Square,1667,,,,2654,40.709943,-73.991212
367,Condo/Co-op,74C,New York,NY,10002,4350000,3,3,One Manhattan Square,1487,,,,2925,40.709943,-73.991212
368,Condo/Co-op,36C,New York,NY,10002,3802000,3,3,One Manhattan Square,1487,,,,2557,40.709943,-73.991212
369,Condo/Co-op,64E,New York,NY,10002,3557000,3,2,One Manhattan Square,1400,,,,2541,40.709943,-73.991212
370,Condo/Co-op,68D,New York,NY,10002,3207000,2,2,One Manhattan Square,1170,,,,2741,40.709943,-73.991212
371,Condo/Co-op,33A,New York,NY,10002,2736000,2,2,One Manhattan Square,1163,,,,2353,40.709943,-73.991212
